,ProductKey,Name,NumberCatalog,Gender,Brand,Price,Color,Details,Sole,Upper,Type,GlobalRank,Reviews,RankSize,RankComfort,RankQuality
100,119949928,Converse Chuck Taylor All Star Lift Hi trainers,70,Women,converse,445.0,light blue,8,Rubber Other,Other,shoe,5,5,208.646,321.0,321.0
101,122653705,Converse Lift Hi trainers,70,Women,converse,415.0,tan,8,Rubber Other,Other,shoe,4,6,160.5,256.797,321.0
102,1660823,adidas Originals Nizza platform trainers,71,Women,adidas,345.0,white,9,Other,Textile Other,trainers,5,1,141.24,253.589,279.266
103,1660822,adidas Originals Nizza platform trainers,71,Women,adidas,290.0,black,9,Other,Textile Other,trainers,5,1,141.24,250.375,276.057
104,110176553,Puma Mayze chunky trainers,72,Women,puma,354.25,white,9,Rubber Other,Other,trainers,5,43,170.125,260.005,288.896
105,117633473,Puma Mayze platform trainers,72,Women,puma,330.63,white/stone,9,Other,Other,trainers,5,83,141.24,253.589,282.479
106,117633485,Puma Mayze platform trainers,72,Women,puma,445.0,white/pink,8,Rubber Other,LeatherOther,shoe,5,37,150.87,266.427,304.948
107,120718387,Puma Mayze chunky trainers,72,Women,puma,330.63,white/black,10,Rubber Other,LeatherOther,shoe,5,25,154.078,301.74,321.0
108,118952116,ASOS DESIGN Athens 3 chunky high lace up boots,77,Women,asos design,265.0,black,5,Other,Other,shoe,4,12,160.5,160.5,186.177
109,118952117,ASOS DESIGN Athens 3 chunky high lace up boots,77,Women,asos design,265.0,black patent,6,Other,Other,shoe,4,4,121.979,202.229,240.75
110,103395898,ASOS DESIGN Nora barely there block heeled sandals,78,Women,asos design,150.0,black,4,Other,Textile Other,heels,4,39,150.87,154.078,221.49
111,106718816,ASOS DESIGN Nora embellished block heel barely there heeled sandals,78,Women,asos design,170.0,silver,4,Other,Other,heels,4,50,131.609,163.708,182.969
112,109348577,ASOS DESIGN Nora barely there block heeled sandals,78,Women,asos design,150.0,natural fabrication,5,Other,Textile Other,heels,4,22,166.917,166.917,208.646
113,113333369,ASOS DESIGN Nora barely there block heeled sandals,78,Women,asos design,68.7,sage green,4,Other,Other,sandals,4,12,166.917,205.438,195.807
114,113678787,ASOS DESIGN Nora embellished barely there block heeled sandals,78,Women,asos design,94.05,blush,6,Other,Textile Other,sandals,4,15,150.87,182.969,231.12
115,107273432,ASOS DESIGN Wide Fit Mulled chunky loafer,79,Women,asos design,195.0,black,7,Other,Other,loafers,4,33,157.286,205.438,234.328
116,119430908,Loungeable faux fur lined PU mule slipper,81,Women,loungeable,90.0,black/cream,4,Textile Other,Polyester Other,shoe,3,3,160.5,134.818,0.0
117,103454243,Accessorize fluffy slipper,82,Women,accessorize,55.11,grey,5,Rubber Other,Polyester Other,slippers,3,3,160.5,186.177,134.818
118,105668526,Crep Protect midsole marker pen,88,Women,crep protect,55.11,white,3,Other,Other,midsole,4,4,215.068,0.0,0.0
119,119430904,Loungeable super fluffy slider slipper,89,Women,loungeable,90.0,black,5,Textile Other,Polyester Other,shoe,3,3,240.75,134.818,0.0
120,114978362,Loungeable chunky fluffy cross over slipper,90,Women,loungeable,90.0,black,4,Other,Other,slippers,4,4,221.49,179.755,221.49
121,110658499,Converse Run Star Hike Hi trainers,97,Women,converse,500.0,black,8,Rubber Other,Other,trainers,5,233,170.125,292.109,301.74
122,110658497,Converse Run Star Hike Ox trainers,97,Women,converse,377.86,black,9,Other,Textile Other,trainers,5,36,186.177,301.74,295.318
123,110658498,Converse Unisex Run Star Hike Hi trainers,97,Women,converse,398.86,white,9,Other,Textile Other,trainers,5,21,189.385,304.948,308.156
124,114993471,Converse Run Star Hike Hi polka dot trainers,97,Women,converse,555.0,white,10,Rubber Other,Other,trainers,5,5,160.5,321.0,304.948
125,119874256,Converse Run Star Hike trainers with hiking laces,97,Women,converse,610.0,brown,8,Rubber Other,Other,shoe,5,4,160.5,321.0,301.74
126,119949918,Converse Run Star Hike Hi trainers,97,Women,converse,525.0,black,7,Rubber Other,Other,shoe,5,10,182.969,282.479,256.797
127,119949932,Converse Run Star Hike Hi trainers,97,Women,converse,525.0,lilac,7,Rubber Other,Other,shoe,5,7,173.339,298.526,298.526
128,119949930,Converse Run Star Hike Hi trainers,97,Women,converse,525.0,brown,9,Rubber Other,Other,shoe,5,4,179.755,301.74,282.479
129,122653689,Converse Run Star Hike Hi nubuck trainers,97,Women,converse,610.0,beige,8,Rubber Other,LeatherOther,shoe,5,3,160.5,321.0,321.0
130,122653687,Converse Run Star Hike Hi borg trainers,97,Women,converse,409.35,tan,9,Rubber Other,Other,shoe,3,3,134.818,215.068,186.177
131,121122810,adidas Originals Gazelle gum sole trainers,98,Women,adidas,420.0,dark grey,7,Rubber Other,Other,shoe,5,12,0.0,0.0,0.0
132,121122808,adidas Originals Gazelle gum sole trainers,98,Women,adidas,420.0,navy,7,Rubber Other,Other,shoe,5,12,0.0,0.0,0.0
133,117578383,Converse unisex Chuck 70 hi trainer,99,Women,converse,335.88,utility/eg,8,Rubber Other,Textile Other,shoe,5,3,121.979,321.0,321.0
134,117674181,Converse Chuck 70 Hi unisex trainers,101,Women,converse,420.0,black,8,Rubber Other,Other,trainers,4,78,160.5,224.698,263.219
135,1480180,Converse Chuck '70 Hi black trainers,101,Women,converse,415.0,black,9,Other,Textile Other,trainers,5,150,166.917,269.635,298.526
136,110028896,Converse Chuck 70 Hi,101,Women,converse,450.0,white,9,Other,Textile Other,trainers,5,6,134.818,215.068,282.479
137,110028909,Converse Unisex Chuck 70 Hi trainers,101,Women,converse,356.87,purple,9,Other,Textile Other,trainers,4,11,189.385,288.896,269.635
138,114993472,Converse Chuck Taylor 70 Hi stripe trainers,101,Women,converse,214.12,mid blue,10,Rubber Other,Other,trainers,4,4,186.177,215.068,240.75
139,114993479,Converse Pride Chuck 70 Hi trainers,101,Women,converse,450.0,multi,7,Rubber Other,Other,trainers,5,6,186.177,266.427,295.318
140,114993480,Converse Chuck Taylor 70 Hi floral embroidery trainers,101,Women,converse,330.63,grey,8,Rubber Other,Textile Other,trainers,5,5,160.5,272.849,321.0
141,114993487,Converse Chuck Taylor 70 Hi stripe trainers,101,Women,converse,312.26,white,9,Rubber Other,Other,trainers,5,3,134.818,266.427,295.318
142,114993496,Converse Chuck Taylor 70 Hi polka dot trainers,101,Women,converse,450.0,black,8,Rubber Other,Other,trainers,4,9,202.229,282.479,292.109
143,117395522,Converse Chuck '70 Hi trainers,101,Women,converse,420.0,ivory,6,Rubber Other,Other,trainers,5,9,134.818,231.12,295.318
144,119949938,Converse Chuck 70 Hi trainers,101,Women,converse,445.0,tan,8,Rubber Other,Other,shoe,5,5,208.646,304.948,304.948
145,122653702,Converse Chuck 70 Hi leather trainers with faux fur lining,101,Women,shoes,349.0,green,8,Rubber Other,LeatherOther,shoe,5,6,160.5,282.479,266.427
146,117578389,Converse Chuck Taylor All Star hi trainer,105,Women,converse,370.0,utility/li,9,Rubber Other,Textile Other,shoe,5,3,215.068,240.75,295.318
147,114995460,adidas Originals Nizza Pride trainers,108,Women,adidas,345.0,black,7,Rubber Other,Textile Other,trainers,5,40,173.339,160.5,240.75
148,115615152,adidas Originals Nizza trainers,108,Women,adidas,395.0,grey,10,Rubber Other,Textile Other,trainers,5,135,163.708,295.318,321.0
149,115615140,adidas Originals Nizza trainers,108,Women,adidas,395.0,blue,9,Rubber Other,LeatherOther,trainers,5,58,173.339,141.24,179.755
150,117578378,Converse Chuck Taylor All Star CX hi trainer,109,Women,converse,420.0,white/blac,8,Rubber Other,Other,shoe,5,4,160.5,282.479,282.479
151,115184723,Converse Chuck Taylor All Star Ox Wide Fit trainers,110,Women,converse,230.92,white,9,Other,Textile Other,trainers,5,7,195.807,285.688,285.688
152,1480483,Converse Chuck Taylor All Star Ox white trainers,110,Women,converse,217.8,white,7,Other,Textile Other,trainers,5,214,179.755,269.635,295.318
