ProductKey,Name,NumberCatalog,Gender,Brand,Price,Color,Details,Type,MaterialSoleRubber,MaterialSolePolyester,MaterialSoleTextile,MaterialSoleThermoplasticPolyurethane,MaterialSoleLeather,MaterialSoleOther,MaterialUpperRubber,MaterialUpperPolyester,MaterialUpperTextile,MaterialUpperThermoplasticPolyurethane,MaterialUpperLeather,MaterialUpperOther,GlobalRank,Reviews,RankSize,RankComfort,RankQuality
109518354,New Balance 530 trainers in white and pastel pink,11,Women,New Balance,525,WHITE,"Next stop: checkout , Low-profile design , Pull tab for easy entry , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning , Durable rubber outsole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.5,27,157.286,311.37,292.109
116709757,New Balance 530 trainers in navy and silver,11,Women,New Balance,525,NAVY/SILVER,"Your casualwear companions , Low-profile design , Pull tab for easy entry , Lace-up fastening , Branded tongue and cuff , Signature New Balance branding , ABZORB® midsole provides lightweight cushioning , Chunky sole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,0,4.7,6,144.448,321,288.896
116709756,New Balance 530 trainers in cream and silver,11,Women,New Balance,525,CREAM/SILVER,"New-season MVPs , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning and is designed to absorb impact , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
116709752,New Balance 530 trainers in beige and silver - exclusive to ASOS,11,Women,New Balance,525,BEIGE/SILVER,"Your casualwear companions , Low-profile design , Pull tab for easy entry , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning and is designed to absorb impact , Durable rubber outsole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.5,40,157.286,282.479,285.688
116709759,New Balance 530 trainers in white and black,11,Women,New Balance,525,WHITE/BLACK,"New kicks for your 'fit , Low-profile design , Pull tab for easy entry , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Perforated for ventilation , ABZORB® midsole provides lightweight cushioning , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,0,4.6,7,195.807,276.057,240.75
116709754,New Balance 530 trainers in white and blue,11,Women,New Balance,525,WHITE/BLUE,"Your casualwear companions , Low-profile design , Pull tab for easy entry , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning and is designed to absorb impact , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,0,4.5,6,160.5,282.479,282.479
116709758,New Balance 530 trainers in white and beige,11,Women,New Balance,525,WHITE/PINK,"Shoe game: won , Low-profile design , Pull tab for easy entry , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.6,14,138.026,240.75,240.75
116709753,New Balance 530 trainers in white and pastel green - exclusive to ASOS,11,Women,New Balance,525,WHITE/GREEN,"Made for unboxing , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Perforated for breathability , ABZORB® footbed , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.3,43,144.448,292.109,276.057
116709755,New Balance 530 trainers in white and gold,11,Women,New Balance,446.09,WHITE/GOLD,"Your casualwear companions , Low-profile design , Pull tab for easy entry , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning and is designed to absorb impact , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.1,9,195.807,276.057,266.427
117348656,New Balance 530 trainers in white silver and blue,11,Women,New Balance,525,WHITE/BLUE,"Unboxing potential: considerable , Lace-up fastening , Branded tongue and cuff , Padded for comfort , ABZORB® midsole provides lightweight cushioning , Chunky sole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.6,72,163.708,292.109,279.266
